Variable,Value,Unit,Category,Channel,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,79.094,um^2,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Area,152.77,um^2,Dendrite,,,1,,2,,1,,100000000,600000001,
Dendrite Area,54.0862,um^2,Dendrite,,,2,,2,,1,,100000000,600000002,
Dendrite Area,185.51,um^2,Dendrite,,,2,,3,,1,,100000000,600000003,
Dendrite Area,154.196,um^2,Dendrite,,,3,,4,,1,,100000000,600000004,
Dendrite Area,150.616,um^2,Dendrite,,,3,,3,,1,,100000000,600000005,
Dendrite Area,87.4768,um^2,Dendrite,,,1,,1,,1,,100000000,600000006,
Dendrite Area,215.32,um^2,Dendrite,,,2,,2,,1,,100000000,600000007,
Dendrite Area,121.23,um^2,Dendrite,,,2,,1,,1,,100000000,600000008,
Dendrite Area,101.103,um^2,Dendrite,,,3,,1,,1,,100000000,600000009,
Dendrite Area,194.479,um^2,Dendrite,,,3,,2,,1,,100000000,600000010,
Dendrite Branch Depth,0,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Depth,1,,Dendrite,,,1,,2,,1,,100000000,600000001,
Dendrite Branch Depth,2,,Dendrite,,,2,,2,,1,,100000000,600000002,
Dendrite Branch Depth,2,,Dendrite,,,2,,3,,1,,100000000,600000003,
Dendrite Branch Depth,3,,Dendrite,,,3,,4,,1,,100000000,600000004,
Dendrite Branch Depth,3,,Dendrite,,,3,,3,,1,,100000000,600000005,
Dendrite Branch Depth,1,,Dendrite,,,1,,1,,1,,100000000,600000006,
Dendrite Branch Depth,2,,Dendrite,,,2,,2,,1,,100000000,600000007,
Dendrite Branch Depth,2,,Dendrite,,,2,,1,,1,,100000000,600000008,
Dendrite Branch Depth,3,,Dendrite,,,3,,1,,1,,100000000,600000009,
Dendrite Branch Depth,3,,Dendrite,,,3,,2,,1,,100000000,600000010,
Dendrite Branch Level,1,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Level,2,,Dendrite,,,1,,2,,1,,100000000,600000001,
Dendrite Branch Level,2,,Dendrite,,,2,,2,,1,,100000000,600000002,
Dendrite Branch Level,3,,Dendrite,,,2,,3,,1,,100000000,600000003,
Dendrite Branch Level,4,,Dendrite,,,3,,4,,1,,100000000,600000004,
Dendrite Branch Level,3,,Dendrite,,,3,,3,,1,,100000000,600000005,
Dendrite Branch Level,1,,Dendrite,,,1,,1,,1,,100000000,600000006,
Dendrite Branch Level,2,,Dendrite,,,2,,2,,1,,100000000,600000007,
Dendrite Branch Level,1,,Dendrite,,,2,,1,,1,,100000000,600000008,
Dendrite Branch Level,1,,Dendrite,,,3,,1,,1,,100000000,600000009,
Dendrite Branch Level,2,,Dendrite,,,3,,2,,1,,100000000,600000010,
Dendrite Branching Angle,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle,4.81056,°,Dendrite,,,1,,2,,1,,100000000,600000001,
Dendrite Branching Angle,3.31174,°,Dendrite,,,2,,2,,1,,100000000,600000002,
Dendrite Branching Angle,5.56162,°,Dendrite,,,2,,3,,1,,100000000,600000003,
Dendrite Branching Angle,4.92724,°,Dendrite,,,3,,4,,1,,100000000,600000004,
Dendrite Branching Angle,25.7742,°,Dendrite,,,3,,3,,1,,100000000,600000005,
Dendrite Branching Angle,57.9414,°,Dendrite,,,1,,1,,1,,100000000,600000006,
Dendrite Branching Angle,4.41632,°,Dendrite,,,2,,2,,1,,100000000,600000007,
