Variable,Value,Unit,Category,Channel,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,50.1222,um^2,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Area,632.65,um^2,Dendrite,,,1,,2,,1,,100000000,600000001,
Dendrite Area,119.883,um^2,Dendrite,,,1,,1,,1,,100000000,600000002,
Dendrite Branch Depth,0,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Depth,1,,Dendrite,,,1,,2,,1,,100000000,600000001,
Dendrite Branch Depth,1,,Dendrite,,,1,,1,,1,,100000000,600000002,
Dendrite Branch Level,1,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branch Level,2,,Dendrite,,,1,,2,,1,,100000000,600000001,
Dendrite Branch Level,1,,Dendrite,,,1,,1,,1,,100000000,600000002,
Dendrite Branching Angle,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle,21.6938,°,Dendrite,,,1,,2,,1,,100000000,600000001,
Dendrite Branching Angle,7.35173,°,Dendrite,,,1,,1,,1,,100000000,600000002,
Dendrite Branching Angle B,0,°,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Branching Angle B,2.44681,°,Dendrite,,,1,,2,,1,,100000000,600000001,
Dendrite Branching Angle B,39.7396,°,Dendrite,,,1,,1,,1,,100000000,600000002,
Dendrite Length,11.6304,um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Length,146.8,um,Dendrite,,,1,,2,,1,,100000000,600000001,
Dendrite Length,27.8178,um,Dendrite,,,1,,1,,1,,100000000,600000002,
Dendrite Mean Diameter,1.37179,um,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite Mean Diameter,1.37179,um,Dendrite,,,1,,2,,1,,100000000,600000001,
Dendrite Mean Diameter,1.37179,um,Dendrite,,,1,,1,,1,,100000000,600000002,
Dendrite No. Spines,0,,Dendrite,,,0,,1,,1,,100000000,600000000,
Dendrite No. Spines,6,,Dendrite,,,1,,2,,1,,100000000,600000001,
Dendrite No. Spines,1,,Dendrite,,,1,,1,,1,,100000000,600000002,
Dendrite Orientation Angle,-141.452,°,Dendrite,,,0,,1,,1,,100000000,600000000,
